State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Odisha,CUTTACK,Arhar/Tur,1997-98,Winter,1797.0,Hectare,516.0,Tonnes,0.2871452420701169
West Bengal,MEDINIPUR WEST,Maize,2008-09,Autumn,50.0,Hectare,73.0,Tonnes,1.46
Andhra Pradesh,MEDAK,Moong(Green Gram),2011-12,Kharif,33676.0,Hectare,24482.0,Tonnes,0.7269865779783822
Rajasthan,GANGANAGAR,Barley,2001-02,Rabi,7028.0,Hectare,11467.0,Tonnes,1.631616391576551
Madhya Pradesh,TIKAMGARH,Wheat,2009-10,Whole Year,100959.0,Hectare,168328.0,Tonnes,1.667290682356204
Andhra Pradesh,EAST GODAVARI,Linseed,2000-01,Rabi,14.0,Hectare,3.0,Tonnes,0.2142857142857142
Andhra Pradesh,KURNOOL,Sweet potato,2010-11,Whole Year,6.0,Hectare,77.0,Tonnes,12.833333333333334
Assam,DHUBRI,Linseed,1997-98,Rabi,1138.0,Hectare,626.0,Tonnes,0.5500878734622144
Andhra Pradesh,VISAKHAPATANAM,Onion,2001-02,Kharif,32.0,Hectare,444.0,Tonnes,13.875
Andhra Pradesh,VIZIANAGARAM,Sweet potato,2012-13,Rabi,63.0,Hectare,607.0,Tonnes,9.634920634920634
Madhya Pradesh,NARSINGHPUR,Masoor,2004-05,Rabi,28226.0,Hectare,17343.0,Tonnes,0.6144335010274216
Gujarat,RAJKOT,Groundnut,2001-02,Summer,100.0,Hectare,100.0,Tonnes,1.0
Tamil Nadu,PUDUKKOTTAI,Sesamum,2013-14,Rabi,948.0,Hectare,302.0,Tonnes,0.3185654008438818
Chhattisgarh,MAHASAMUND,Arhar/Tur,2000-01,Kharif,888.0,Hectare,307.0,Tonnes,0.3457207207207207
Madhya Pradesh,RAJGARH,Other Kharif pulses,2001-02,Kharif,6385.0,Hectare,1520.0,Tonnes,0.2380579483163664
Rajasthan,BHARATPUR,Cotton(lint),1999-00,Kharif,1015.0,Hectare,1711.08,Bales,1.6857931034482758
Mizoram,MAMIT,Other Kharif pulses,2003-04,Kharif,394.0,Hectare,432.0,Tonnes,1.0964467005076142
Tamil Nadu,TIRUNELVELI,Small millets,2002-03,Kharif,393.0,Hectare,233.0,Tonnes,0.5928753180661578
Andhra Pradesh,VISAKHAPATANAM,Jowar,2001-02,Kharif,1442.0,Hectare,825.0,Tonnes,0.5721220527045769
Uttar Pradesh,ALLAHABAD,Soyabean,2001-02,Kharif,45.0,Hectare,33.0,Tonnes,0.7333333333333333
Gujarat,JAMNAGAR,Cotton(lint),2005-06,Kharif,92100.0,Hectare,494500.0,Bales,5.369163952225842
Madhya Pradesh,MANDLA,Small millets,2006-07,Rabi,46.0,Hectare,,Tonnes,0.0
Bihar,GAYA,Sweet potato,2002-03,Whole Year,7.0,Hectare,74.0,Tonnes,10.571428571428571
Punjab,MANSA,Gram,2001-02,Rabi,500.0,Hectare,300.0,Tonnes,0.6
Telangana,MULUGU,Tobacco,2018-19,Rabi,2.0,Hectare,10.0,Tonnes,5.0
Maharashtra,SOLAPUR,Maize,2001-02,Summer,1300.0,Hectare,1800.0,Tonnes,1.3846153846153846
Chhattisgarh,DANTEWADA,Horse-gram,2001-02,Kharif,3868.0,Hectare,1324.0,Tonnes,0.3422957600827301
Odisha,SAMBALPUR,Garlic,2004-05,Whole Year,346.0,Hectare,1088.0,Tonnes,3.1445086705202314
Karnataka,DHARWAD,Cowpea(Lobia),2016-17,Kharif,186.0,Hectare,142.0,Tonnes,0.7634408602150538
Jharkhand,PALAMU,Sunflower,2017-18,Rabi,150.0,Hectare,,Tonnes,0.0
Tamil Nadu,TIRUNELVELI,Other Rabi pulses,2019-20,Rabi,1.0,Hectare,1.0,Tonnes,1.0
Assam,UDALGURI,Peas & beans (Pulses),2007-08,Rabi,766.0,Hectare,387.0,Tonnes,0.5052219321148825
Gujarat,VADODARA,Other Kharif pulses,2001-02,Kharif,1000.0,Hectare,600.0,Tonnes,0.6
Tamil Nadu,THIRUVALLUR,Sesamum,2009-10,Whole Year,807.0,Hectare,422.0,Tonnes,0.5229244114002478
Uttar Pradesh,VARANASI,Other Rabi pulses,2006-07,Rabi,2638.0,Hectare,2820.0,Tonnes,1.068991660348749
Haryana,PANCHKULA,Peas & beans (Pulses),2019-20,Kharif,95.0,Hectare,940.0,Tonnes,9.894736842105264
Uttar Pradesh,UNNAO,Potato,2004-05,Rabi,6559.0,Hectare,109161.0,Tonnes,16.642933373989937
Uttar Pradesh,ALLAHABAD,Potato,2005-06,Rabi,10554.0,Hectare,209064.0,Tonnes,19.8089823763502
